,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2016-01-01,1097.229048386,-33.661313289264164,2781.2171072538335,1097.229048386,1097.229048386,252.07298862061288,252.07298862061288,252.07298862061288,-3.4142217419928014,-3.4142217419928014,-3.4142217419928014,255.48721036260565,255.48721036260565,255.48721036260565,0.0,0.0,0.0,1349.3020370066129
1,2016-01-02,1092.7999545827136,-149.1405065133849,2629.784702063109,1092.7999545827136,1092.7999545827136,234.52633211440173,234.52633211440173,234.52633211440173,15.18999062594858,15.18999062594858,15.18999062594858,219.33634148845312,219.33634148845312,219.33634148845312,0.0,0.0,0.0,1327.3262866971154
2,2016-01-03,1088.3708607794272,-156.35815704241284,2753.977677179541,1088.3708607794272,1088.3708607794272,176.3098572294925,176.3098572294925,176.3098572294925,-9.008198420516536,-9.008198420516536,-9.008198420516536,185.31805565000903,185.31805565000903,185.31805565000903,0.0,0.0,0.0,1264.6807180089197
3,2016-01-04,1083.9417669761408,-161.60732937418442,2666.6074329781163,1083.9417669761408,1083.9417669761408,172.16102402286242,172.16102402286242,172.16102402286242,18.54079506700788,18.54079506700788,18.54079506700788,153.62022895585451,153.62022895585451,153.62022895585451,0.0,0.0,0.0,1256.1027909990032
4,2016-01-05,1079.5126731728544,-263.69209871856935,2638.594201175005,1079.5126731728544,1079.5126731728544,120.11335998327189,120.11335998327189,120.11335998327189,-4.189439791175589,-4.189439791175589,-4.189439791175589,124.3027997744475,124.3027997744475,124.3027997744475,0.0,0.0,0.0,1199.6260331561264
5,2016-01-06,1075.083579369568,-229.19131932592666,2599.3864818069246,1075.083579369568,1075.083579369568,98.59006767668455,98.59006767668455,98.59006767668455,1.2871600275943729,1.2871600275943729,1.2871600275943729,97.30290764909019,97.30290764909019,97.30290764909019,0.0,0.0,0.0,1173.6736470462527
6,2016-01-07,1070.6544855662817,-258.61636380358334,2501.5894620863837,1070.6544855662817,1070.6544855662817,54.03767228875797,54.03767228875797,54.03767228875797,-18.406085767000846,-18.406085767000846,-18.406085767000846,72.4437580557588,72.4437580557588,72.4437580557588,0.0,0.0,0.0,1124.6921578550396
7,2016-01-08,1066.2253917629953,-308.8409111981023,2502.1724213555044,1066.2253917629953,1066.2253917629953,46.03267516065349,46.03267516065349,46.03267516065349,-3.4142217420017285,-3.4142217420017285,-3.4142217420017285,49.44689690265521,49.44689690265521,49.44689690265521,0.0,0.0,0.0,1112.2580669236488
8,2016-01-09,1061.796297959709,-265.59953907195506,2562.8134311447297,1061.796297959709,1061.796297959709,43.137473859945544,43.137473859945544,43.137473859945544,15.18999062604649,15.18999062604649,15.18999062604649,27.947483233899053,27.947483233899053,27.947483233899053,0.0,0.0,0.0,1104.9337718196543
9,2016-01-10,1057.3672041564225,-404.1096984847117,2365.724490532002,1057.3672041564225,1057.3672041564225,-1.496133154592711,-1.496133154592711,-1.496133154592711,-9.008198420484888,-9.008198420484888,-9.008198420484888,7.512065265892177,7.512065265892177,7.512065265892177,0.0,0.0,0.0,1055.87107100183
10,2016-01-11,1052.9381103531362,-312.13143664896626,2384.667448266686,1052.9381103531362,1052.9381103531362,6.199091001958013,6.199091001958013,6.199091001958013,18.540795067014066,18.540795067014066,18.540795067014066,-12.341704065056051,-12.341704065056051,-12.341704065056051,0.0,0.0,0.0,1059.1372013550942
11,2016-01-12,1048.5090165498498,-436.6733956659117,2423.7684441031743,1048.5090165498498,1048.5090165498498,-36.31346831581163,-36.31346831581163,-36.31346831581163,-4.1894397911720604,-4.1894397911720604,-4.1894397911720604,-32.12402852463957,-32.12402852463957,-32.12402852463957,0.0,0.0,0.0,1012.1955482340381
12,2016-01-13,1044.0799227465634,-418.63569504548457,2431.931584030049,1044.0799227465634,1044.0799227465634,-51.06409836617289,-51.06409836617289,-51.06409836617289,1.2871600275650705,1.2871600275650705,1.2871600275650705,-52.351258393737965,-52.351258393737965,-52.351258393737965,0.0,0.0,0.0,993.0158243803905
13,2016-01-14,1039.650828943277,-479.60456576275095,2373.9048916817433,1039.650828943277,1039.650828943277,-91.93026215202416,-91.93026215202416,-91.93026215202416,-18.406085766895167,-18.406085766895167,-18.406085766895167,-73.524176385129,-73.524176385129,-73.524176385129,0.0,0.0,0.0,947.7205667912528
